MDT	KPERC	eU	eth	UTHRAZAO	THKRAZAO	MAGIGRF	closest_unid	X	Y	geometry
continuous	continuous	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous	string
							class	meta	meta	meta
447.7080895272096	0.5044453873787457	0.9731245632508927	4.8453285690015875	0.23155488450084458	9.972151088428562	-117.4930487724165	Q2a	532777.6849074527	8784101.125146402	POINT (532777.6849074527 8784101.125146402)
457.4659930109391	0.3233487780687201	0.35938490740120493	6.2314785148952865	0.05485965617312577	19.07779772327377	-54.82069647890253	Q2a	525673.7760111607	8784353.197204517	POINT (525673.7760111607 8784353.197204517)
445.4076734859967	0.14033184030113532	0.4452905936416426	2.884588898204176	0.1415294749967039	23.985598195936454	-63.39457019097316	Q2a	525549.146030524	8783975.089117344	POINT (525549.146030524 8783975.089117344)
461.2013920180743	0.3573601925899299	0.5432299906142596	6.882667078247479	0.07153934639979773	18.485536319895942	-50.739602309323544	Q2a	525798.4059917973	8784353.197204517	POINT (525798.4059917973 8784353.197204517)
443.79437850808085	0.20161943688387363	1.006378385825614	2.0720587968677453	0.37745243004842266	11.928833994194743	-108.59779823115072	Q2a	532403.7949655426	8784227.16117546	POINT (532403.7949655426 8784227.16117546)
444.9046905951999	0.35197689431312895	1.3976895354629222	4.161658809617061	0.33914271550162933	11.58658443376352	-106.4008832591458	Q2a	532029.9050236326	8784101.125146402	POINT (532029.9050236326 8784101.125146402)
467.01541829112875	0.3931325384142379	0.3721276814830324	5.286944851629291	0.07412584846745211	11.409688511431225	-48.428540178775464	Q2a	526047.6659530709	8784101.125146402	POINT (526047.6659530709 8784101.125146402)
444.9250263985838	0.25288143013259007	1.0860530902266101	3.35078146277883	0.32501228112098074	12.784405292741873	-108.37265647550643	Q2a	532154.5350042692	8783975.089117344	POINT (532154.5350042692 8783975.089117344)
447.19677910427635	0.34487050747095793	0.982766583133159	3.6778929137758296	0.272266126537804	10.689806886079554	-115.82962976021132	Q2a	532653.054926816	8784101.125146402	POINT (532653.054926816 8784101.125146402)
455.205261094861	0.17181556379921006	1.1309262663351485	4.279466534438691	0.25130885249797225	37.297778225492436	-82.71157769260124	Q2a	524801.3661467037	8783975.089117344	POINT (524801.3661467037 8783975.089117344)
