k,d_med_m,delta_d,rel_delta,diff_to_500,abs_diff_500,ratio_to_500
90,722.361826779736,5.361129430005349,0.0074771606915053,222.361826779736,222.361826779736,1.444723653559472
91,727.6214675227773,5.2596407430412455,0.0072811720498694,227.62146752277727,227.62146752277727,1.4552429350455545
92,733.3466531262297,5.7251856034524735,0.0078683571870744,233.3466531262297,233.3466531262297,1.4666933062524594
93,738.9269246684681,5.580271542238393,0.0076093229831347,238.92692466846813,238.92692466846813,1.4778538493369362
94,744.483410077623,5.556485409154902,0.007519668351032,244.48341007762303,244.48341007762303,1.4889668201552462
95,749.7839688870388,5.300558809415747,0.0071197809617585,249.7839688870388,249.7839688870388,1.4995679377740776
96,755.0872548629,5.303285975861172,0.0070730853098036,255.08725486289995,255.08725486289995,1.5101745097258
97,760.0657866263946,4.97853176349463,0.0065933198202353,260.0657866263946,260.0657866263946,1.5201315732527891
98,765.0864220867247,5.020635460330141,0.0066055275065262,265.0864220867247,265.0864220867247,1.5301728441734497
99,770.0025973982166,4.916175311491884,0.0064256470505427,270.0025973982166,270.0025973982166,1.5400051947964333
100,774.8983525069114,4.895755108694743,0.0063581020703529,274.8983525069113,274.8983525069113,1.5497967050138226
101,779.8031802961565,4.904827789245132,0.0063296402339446,279.8031802961565,279.8031802961565,1.559606360592313
102,784.9842652130728,5.181084916916348,0.0066440930837812,284.98426521307283,284.98426521307283,1.5699685304261457
103,790.0512641594847,5.0669989464119,0.0064549051120617,290.0512641594848,290.0512641594848,1.5801025283189694
104,795.7347327611965,5.683468601711752,0.0071937972376491,295.7347327611965,295.7347327611965,1.5914694655223929
105,801.1054861876805,5.370753426484043,0.0067494269200083,301.1054861876805,301.1054861876805,1.602210972375361
106,807.0996577428251,5.9941715551445895,0.0074823748663484,307.0996577428251,307.0996577428251,1.6141993154856502
107,812.7391955602978,5.639537817472728,0.0069874119798842,312.73919556029784,312.73919556029784,1.6254783911205957
108,818.6752284004833,5.936032840185476,0.0073037363924514,318.6752284004833,318.6752284004833,1.6373504568009667
109,824.2002183935649,5.52498999308159,0.0067486956993632,324.2002183935649,324.2002183935649,1.64840043678713
