Quality Assurance of Geometric Corrections for the AST_L1T Product

This file contains two sections:
   * A section listing the GLS 2000 Ground Control Points (GCPs)
     that were used in correcting the geometric location of the pixels
     in order to create this AST_L1T product
   * A section that does an independent geometric verification of the corrected
     pixels by comparing the AST_L1T data to a GLS 2000 Standard Scene.

Section One:

'Precision' correction was not achieved.

Section Two:

==============================================================================
==============================================================================
Mon. May. 11 2015                  TERRA_ASTER                       Time: 20:25
                                 ASTER L1T PGE
                            GEOMETRIC VERIFY Report
==============================================================================
WRS-2: Path/Row 228/64
Reference Image: GLS 2000 (p228r064_7dt20001006_z21_50.tif)

Pixel dimensions: 30 x 30 meters
Pointing angle:  -2.884 degrees

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 --  0.0%
Rank   2 --  0.0%
Rank   3 -- 100.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2280641380   -5.76791    -56.35123    -1.10      0.92     1.43     3 
2280641381   -5.76790    -56.34148    -1.09      0.92     1.42     3 
2280641382   -5.76789    -56.33172    -1.06      0.93     1.41     3 
2280641442   -5.77673    -56.47803    -1.05      0.89     1.38     3 
2280641443   -5.77672    -56.46827    -1.08      0.87     1.39     3 
2280641444   -5.77671    -56.45852    -0.99      0.88     1.32     3 
2280641445   -5.77670    -56.44877    -0.95      0.82     1.25     3 
2280641446   -5.77669    -56.43901    -1.04      0.85     1.35     3 
2280641447   -5.77668    -56.42926    -1.08      0.84     1.37     3 
2280641448   -5.77667    -56.41950    -1.13      0.83     1.41     3 
2280641449   -5.77666    -56.40975    -1.07      0.86     1.37     3 
2280641450   -5.77665    -56.39999    -1.09      0.83     1.37     3 
2280641451   -5.77664    -56.39024    -1.05      0.87     1.37     3 
2280641452   -5.77663    -56.38049    -1.06      0.85     1.36     3 
2280641455   -5.77660    -56.35122    -1.07      0.92     1.42     3 
2280641456   -5.77658    -56.34147    -1.09      1.00     1.48     3 
2280641457   -5.77657    -56.33171    -1.04      1.03     1.47     3 
2280641470   -5.77641    -56.20491    -1.00      1.08     1.47     3 
2280641473   -5.77637    -56.17565    -1.02      1.01     1.44     3 
2280641513   -5.78545    -56.51704    -1.00      0.91     1.35     3 
2280641514   -5.78544    -56.50729    -1.00      0.93     1.37     3 
2280641515   -5.78543    -56.49753    -1.04      0.95     1.41     3 
2280641516   -5.78542    -56.48778    -1.08      0.95     1.44     3 
2280641517   -5.78541    -56.47802    -1.05      0.90     1.38     3 
2280641518   -5.78540    -56.46827    -1.07      0.89     1.39     3 
2280641519   -5.78539    -56.45851    -1.10      0.88     1.41     3 
2280641520   -5.78538    -56.44876    -1.12      0.84     1.40     3 
2280641521   -5.78537    -56.43900    -1.12      0.84     1.40     3 
2280641523   -5.78535    -56.41949    -1.06      0.83     1.35     3 
2280641524   -5.78534    -56.40974    -1.08      0.86     1.38     3 
2280641525   -5.78533    -56.39999    -1.12      0.89     1.42     3 
2280641526   -5.78532    -56.39023    -1.11      0.91     1.44     3 
2280641542   -5.78513    -56.23416    -1.02      0.98     1.41     3 
2280641543   -5.78512    -56.22441    -1.06      1.00     1.46     3 
2280641544   -5.78511    -56.21465    -1.10      1.04     1.52     3 
2280641546   -5.78508    -56.19514    -0.97      1.03     1.41     3 
2280641548   -5.78505    -56.17564    -1.14      0.99     1.51     3 
2280641591   -5.79410    -56.48777    -1.07      0.89     1.39     3 
2280641592   -5.79410    -56.47801    -1.07      0.88     1.38     3 
2280641593   -5.79409    -56.46826    -1.09      0.87     1.39     3 
2280641594   -5.79408    -56.45850    -1.15      0.84     1.42     3 
2280641595   -5.79407    -56.44875    -1.23      0.81     1.47     3 
2280641596   -5.79406    -56.43899    -1.20      0.86     1.48     3 
2280641598   -5.79404    -56.41949    -1.09      0.84     1.37     3 
2280641599   -5.79403    -56.40973    -1.13      0.88     1.43     3 
2280641600   -5.79402    -56.39998    -1.12      0.90     1.44     3 
2280641601   -5.79401    -56.39022    -1.12      0.93     1.45     3 
2280641604   -5.79397    -56.36096    -1.05      0.95     1.41     3 
2280641611   -5.79389    -56.29268    -1.06      0.92     1.40     3 
2280641612   -5.79388    -56.28292    -1.02      0.88     1.34     3 
