Quality Assurance of Geometric Corrections for the AST_L1T Product

This file contains two sections:
   * A section listing the GLS 2000 Ground Control Points (GCPs)
     that were used in correcting the geometric location of the pixels
     in order to create this AST_L1T product
   * A section that does an independent geometric verification of the corrected
     pixels by comparing the AST_L1T data to a GLS 2000 Standard Scene.

Section One:

'Precision' correction was not achieved.

Section Two:

==============================================================================
==============================================================================
Sun. May. 10 2015                  TERRA_ASTER                       Time: 19:00
                                 ASTER L1T PGE
                            GEOMETRIC VERIFY Report
==============================================================================
WRS-2: Path/Row 228/64
Reference Image: GLS 2000 (p228r064_7dt20001006_z21_50.tif)

Pixel dimensions: 30 x 30 meters
Pointing angle:  -5.729 degrees

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 --  0.0%
Rank   2 -- 69.2%
Rank   3 -- 30.8%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2280641616   -5.84374    -55.90242     0.08     -0.88     0.88     2 
2280641631   -5.84344    -55.75611    -0.05     -0.87     0.87     2 
2280641632   -5.84342    -55.74636     0.09     -1.00     1.01     3 
2280641633   -5.84339    -55.73660     0.42     -0.95     1.04     3 
2280641664   -5.85288    -56.16578     0.08     -0.89     0.89     2 
2280641666   -5.85285    -56.14627    -0.01     -0.73     0.73     2 
2280641667   -5.85283    -56.13652    -0.36     -1.11     1.16     3 
2280641668   -5.85282    -56.12676    -0.34     -1.02     1.07     3 
2280641669   -5.85280    -56.11701    -0.10     -0.93     0.94     2 
2280641706   -5.85212    -55.75609     0.23     -0.92     0.95     2 
2280641707   -5.85210    -55.74634    -0.39     -1.04     1.11     3 
2280641708   -5.85208    -55.73658    -0.48     -1.03     1.14     3 
2280641709   -5.85205    -55.72683    -0.11     -1.00     1.01     3 
2280641737   -5.86159    -56.18528    -0.07     -0.88     0.89     2 
2280641738   -5.86158    -56.17553     0.07     -0.92     0.92     2 
2280641739   -5.86156    -56.16577     0.16     -0.86     0.88     2 
2280641742   -5.86152    -56.13650    -0.23     -1.04     1.07     3 
2280641743   -5.86150    -56.12675    -0.21     -1.05     1.07     3 
2280641744   -5.86149    -56.11699    -0.21     -1.03     1.05     3 
2280641764   -5.86115    -55.92189    -0.19     -0.74     0.77     2 
2280641782   -5.86078    -55.74632    -0.05     -1.07     1.07     3 
2280641783   -5.86076    -55.73656    -0.07     -0.85     0.85     2 
2280641812   -5.87027    -56.18527     0.07     -0.87     0.88     2 
2280641813   -5.87026    -56.17551     0.14     -0.89     0.90     2 
2280641839   -5.86983    -55.92188    -0.17     -0.80     0.82     2 
2280641840   -5.86981    -55.91212     0.07     -0.85     0.85     2 
2280641857   -5.86946    -55.74630    -0.09     -0.89     0.90     2 
2280641912   -5.87855    -55.94137     0.08     -0.85     0.85     2 
2280641932   -5.87814    -55.74628    -0.25     -0.81     0.85     2 
2280641933   -5.87812    -55.73653    -0.14     -0.70     0.71     2 
2280641967   -5.88757    -56.13646    -0.02     -0.96     0.96     2 
2280642007   -5.88683    -55.74626    -0.51     -0.96     1.09     3 
2280642008   -5.88680    -55.73651    -0.45     -0.97     1.07     3 
2280642042   -5.89625    -56.13645     0.17     -0.97     0.98     2 
2280642083   -5.89549    -55.73649    -0.58     -1.07     1.22     3 
2280642157   -5.90419    -55.74622    -0.42     -0.94     1.03     3 
2280642158   -5.90417    -55.73647    -0.47     -1.07     1.17     3 
2280642159   -5.90415    -55.72671    -0.34     -1.11     1.16     3 
2280642232   -5.91287    -55.74620    -0.45     -1.03     1.13     3 
2280642233   -5.91285    -55.73645    -0.44     -1.12     1.20     3 
2280642261   -5.92239    -56.19495     0.06     -0.86     0.86     2 
2280642306   -5.92158    -55.75594    -0.45     -1.04     1.13     3 
2280642374   -5.93041    -55.82420    -0.42     -1.01     1.09     3 
2280642524   -5.94778    -55.82417    -0.44     -0.66     0.80     2 
2280642598   -5.95648    -55.83391    -0.45     -1.06     1.15     3 
2280642599   -5.95646    -55.82415    -0.51     -1.06     1.17     3 
2280642600   -5.95644    -55.81439    -0.41     -0.74     0.85     2 
2280642652   -5.96556    -56.03877    -0.26     -0.90     0.94     2 
2280642653   -5.96554    -56.02902    -0.03     -0.83     0.83     2 
2280642728   -5.97422    -56.02900     0.29     -0.81     0.86     2 
2280642757   -5.97365    -55.74606     0.13     -0.93     0.94     2 
2280642794   -5.98306    -56.11680    -0.12     -0.96     0.96     2 
2280642823   -5.98253    -55.83385    -0.76     -0.93     1.20     3 
2280642898   -5.99121    -55.83383    -0.79     -0.70     1.05     3 
2280642942   -6.00045    -56.13629    -0.06     -0.93     0.93     2 
2280642943   -6.00044    -56.12653    -0.06     -1.02     1.02     3 
2280642971   -5.99993    -55.85333    -0.16     -0.89     0.90     2 
2280642972   -5.99991    -55.84357    -0.51     -1.01     1.13     3 
2280642973   -5.99989    -55.83381    -0.71     -0.81     1.07     3 
2280643012   -6.00921    -56.18506    -0.06     -1.09     1.09     3 
2280643046   -6.00862    -55.85331    -0.31     -0.90     0.95     2 
2280643047   -6.00860    -55.84355    -0.50     -1.02     1.14     3 
2280643048   -6.00858    -55.83380    -0.48     -1.02     1.12     3 
2280643119   -6.01734    -55.87280    -0.07     -0.87     0.88     2 
2280643120   -6.01732    -55.86305    -0.12     -0.93     0.93     2 
2280643121   -6.01730    -55.85329    -0.19     -0.84     0.86     2 
2280643122   -6.01728    -55.84353    -0.42     -1.03     1.11     3 
2280643123   -6.01726    -55.83378    -0.38     -1.04     1.11     3 
2280643196   -6.02598    -55.85327    -0.26     -0.98     1.01     3 
2280643197   -6.02596    -55.84351    -0.52     -1.02     1.14     3 
2280643198   -6.02594    -55.83376    -0.44     -1.01     1.10     3 
2280643270   -6.03468    -55.86301    -0.05     -1.00     1.00     3 
2280643271   -6.03467    -55.85325    -0.42     -1.11     1.19     3 
2280643272   -6.03464    -55.84350    -0.50     -1.10     1.21     3 
2280643273   -6.03462    -55.83374    -0.51     -1.10     1.22     3 
2280643346   -6.04335    -55.85324    -0.40     -1.12     1.19     3 
2280643417   -6.05211    -55.89225    -0.07     -0.94     0.94     2 
2280643418   -6.05209    -55.88249    -0.04     -0.91     0.91     2 
2280643421   -6.05203    -55.85322    -0.34     -1.08     1.13     3 
2280643494   -6.06075    -55.87271     0.09     -0.93     0.93     2 
2280643495   -6.06073    -55.86296     0.07     -0.89     0.90     2 
2280643496   -6.06071    -55.85320    -0.08     -0.89     0.90     2 
2280643497   -6.06069    -55.84344    -0.40     -1.01     1.09     3 
2280643498   -6.06067    -55.83368    -0.08     -1.00     1.00     3 
2280643569   -6.06944    -55.87270    -0.04     -0.93     0.93     2 
2280643572   -6.06937    -55.84342    -0.31     -1.00     1.04     3 
2280643573   -6.06935    -55.83367    -0.32     -1.01     1.06     3 
2280643608   -6.07874    -56.22400     0.04     -1.02     1.02     3 
2280643648   -6.07804    -55.83365    -0.64     -0.98     1.18     3 
2280644247   -6.14752    -55.84325    -0.20     -0.87     0.89     2 
2280644248   -6.14750    -55.83350    -0.34     -0.96     1.01     3 
2280644324   -6.15616    -55.82372    -0.32     -1.17     1.22     3 
2280644378   -6.16525    -56.02866    -0.01     -0.95     0.95     2 
2280644399   -6.16484    -55.82370    -0.46     -1.03     1.13     3 
2280644400   -6.16482    -55.81394    -0.35     -0.91     0.98     2 
2280644454   -6.17392    -56.01888    -0.90      0.03     0.90     2 
2280644473   -6.17354    -55.83344    -0.59     -1.03     1.18     3 
2280644474   -6.17352    -55.82368    -0.37     -0.99     1.06     3 
2280644529   -6.18260    -56.01887    -0.66     -0.66     0.93     2 
2280644533   -6.18253    -55.97982    -0.13     -0.73     0.74     2 
2280644534   -6.18251    -55.97006    -0.13     -1.05     1.06     3 
2280644535   -6.18249    -55.96030    -0.10     -0.94     0.94     2 
2280644538   -6.18243    -55.93102     0.06     -0.74     0.74     2 
2280644608   -6.19121    -55.97981    -0.02     -0.97     0.97     2 
